Record_ID,geo_county,geo_subcounty
KEN-TRK-029-B,Turkana,Turkana North
KEN-TRK-030-B,Turkana,Turkana Central
KEN-TRK-031-B,Turkana,Turkana North
KEN-TRK-033-B,Turkana,Turkana Central
KEN-TRK-034-B,Turkana,Turkana Central
KEN-TRK-036-B,Turkana,Turkana South
KEN-TRK-038-B,Turkana,Turkana North
KEN-TRK-039-B,Turkana,Turkana Central
KEN-TRK-040-B,Turkana,Turkana Central
KEN-TRK-041-B,Turkana,Turkana Central
KEN-TRK-042-B,Turkana,Turkana North
KEN-TRK-043-B,Turkana,Turkana Central
KEN-MCK-045,Turkana,Turkana South
KEN-TRK-054,Turkana,Turkana South
KEN-TRK-055,Turkana,Turkana South
KEN-TRK-056,Turkana,Turkana South
KEN-TRK-057,Turkana,Turkana South
KEN-TRK-058,Turkana,Turkana East
KEN-TRK-059,Turkana,Turkana South
KEN-TRK-060,Turkana,Turkana South
KEN-TRK-061,Turkana,Turkana South
KEN-TRK-062,Turkana,Turkana South
KEN-TRK-065,Turkana,Turkana South
KEN-TRK-067,Turkana,Turkana South
KEN-TRK-068,Turkana,Turkana South
KEN-TRK-069,Turkana,Turkana Central
KEN-TRK-072,Turkana,Turkana Central
KEN-TRK-073,Turkana,Turkana West
KEN-TRK-074,Turkana,Turkana South
KEN-TRK-078,Turkana,Loima
KEN-TRK-079,Turkana,Turkana South
KEN-TRK-081,Turkana,Turkana Central
KEN-TRK-082,Turkana,Turkana West
KEN-TRK-083,Turkana,Turkana West
KEN-TRK-085,Turkana,Turkana Central
KEN-TRK-086,Turkana,Turkana Central
KEN-TRK-089,Turkana,Turkana South
KEN-TRK-090,Turkana,Turkana Central
KEN-TRK-091,Turkana,Turkana South
KEN-TRK-092,Turkana,Loima
KEN-TRK-093,Turkana,Loima
KEN-TRK-094,Turkana,Loima
KEN-TRK-095,Turkana,Turkana Central
KEN-TRK-096,Turkana,Turkana Central
KEN-MCK-079,Turkana,Turkana Central
KEN-MCK-080,Turkana,Turkana Central
KEN-TRK-099,Turkana,Turkana North
KEN-TRK-102,Turkana,Turkana Central
KEN-TRK-103,Turkana,Turkana North
KEN-TRK-104,Turkana,Turkana South
KEN-TRK-106,Turkana,Turkana North
KEN-NBI-168,Turkana,Turkana South
KEN-NBI-169,Turkana,Turkana South
KEN-TRK-113,Turkana,Turkana North
KEN-TRK-116,Turkana,Turkana Central
KEN-TRK-117,Turkana,Turkana Central
KEN-TRK-118,Turkana,Turkana Central
KEN-TRK-119,Turkana,Turkana Central
KEN-TRK-121,Turkana,Turkana South
KEN-TRK-122,Turkana,Turkana Central
KEN-TRK-123,Turkana,Turkana Central
KEN-TRK-124,Turkana,Turkana South
KEN-TRK-130,Turkana,Turkana North
KEN-TRK-131,Turkana,Turkana Central
KEN-TRK-132,Turkana,Loima
KEN-TRK-134,Turkana,Turkana South
KEN-TRK-135,Turkana,Turkana North
KEN-TRK-140,Turkana,Turkana Central
KEN-TRK-141,Turkana,Turkana Central
KEN-TRK-145,Turkana,Turkana South
KEN-NBI-243,Turkana,Turkana South
KEN-TRK-154,Turkana,Turkana Central
KEN-TRK-155,Turkana,Turkana Central
KEN-TRK-156,Turkana,Turkana Central
KEN-TRK-157,Turkana,Turkana South
